state,age,n_mig,pop,rate
alabama,54,10,652,0.015337423312883436
alabama,55,12,650,0.018461538461538463
alabama,56,17,1350,0.012592592592592593
alabama,57,9,1484,0.006064690026954178
alabama,58,13,1660,0.00783132530120482
alabama,59,13,1658,0.007840772014475271
alabama,60,12,821,0.014616321559074299
alabama,61,11,772,0.014248704663212436
alabama,62,13,1592,0.008165829145728644
alabama,63,13,1644,0.007907542579075427
alabama,64,17,1624,0.010467980295566502
alabama,65,25,1642,0.015225334957369063
alabama,66,14,805,0.017391304347826087
alabama,67,13,1468,0.008855585831062671
alabama,68,10,1528,0.006544502617801047
alabama,69,17,1480,0.011486486486486487
alabama,70,11,1416,0.007768361581920904
alabama,71,8,1334,0.005997001499250375
alabama,72,10,1384,0.0072254335260115606
alabama,73,13,1254,0.01036682615629984
alabama,74,5,1206,0.0041459369817578775
alabama,75,8,1278,0.006259780907668232
alabama,76,10,489,0.02044989775051125
alabama,77,10,465,0.021505376344086023
alabama,78,6,986,0.006085192697768763
alabama,79,9,450,0.02
alabama,80,5,314,0.01592356687898089
alaska,1,1,77,0.012987012987012988
alaska,2,5,114,0.043859649122807015
alaska,3,4,76,0.05263157894736842
alaska,4,2,96,0.020833333333333332
alaska,5,5,92,0.05434782608695652
alaska,6,3,83,0.03614457831325301
alaska,7,3,106,0.02830188679245283
alaska,8,3,85,0.03529411764705882
alaska,9,5,110,0.045454545454545456
alaska,10,8,101,0.07920792079207921
alaska,11,6,218,0.027522935779816515
alaska,12,1,96,0.010416666666666666
alaska,14,4,97,0.041237113402061855
alaska,15,6,106,0.05660377358490566
alaska,16,10,200,0.05
alaska,17,8,196,0.04081632653061224
alaska,18,9,180,0.05
alaska,19,12,122,0.09836065573770492
alaska,20,16,228,0.07017543859649122
alaska,21,8,170,0.047058823529411764
alaska,22,11,82,0.13414634146341464
alaska,23,15,99,0.15151515151515152
alaska,24,7,194,0.03608247422680412
alaska,25,11,222,0.04954954954954955
alaska,26,8,168,0.047619047619047616
alaska,27,9,216,0.041666666666666664
alaska,28,6,166,0.03614457831325301
alaska,29,8,106,0.07547169811320754
alaska,30,6,99,0.06060606060606061
alaska,31,6,123,0.04878048780487805
alaska,32,7,220,0.031818181818181815
alaska,33,5,94,0.05319148936170213
alaska,34,6,101,0.0594059405940594
alaska,35,8,182,0.04395604395604396
alaska,36,1,95,0.010526315789473684
alaska,37,4,81,0.04938271604938271
alaska,38,4,192,0.020833333333333332
alaska,39,6,200,0.03
alaska,40,4,176,0.022727272727272728
alaska,41,2,75,0.02666666666666667
alaska,42,6,172,0.03488372093023256
alaska,43,8,188,0.0425531914893617
alaska,44,3,140,0.02142857142857143
alaska,45,5,138,0.036231884057971016
alaska,46,5,69,0.07246376811594203
alaska,47,2,68,0.029411764705882353
alaska,48,5,130,0.038461538461538464
alaska,49,4,110,0.03636363636363636
alaska,50,3,90,0.03333333333333333
alaska,51,1,74,0.013513513513513514
alaska,52,6,172,0.03488372093023256
alaska,53,6,158,0.0379746835443038
alaska,54,2,75,0.02666666666666667
alaska,55,3,89,0.033707865168539325
alaska,56,2,98,0.02040816326530612
alaska,57,2,186,0.010752688172043012
alaska,58,2,89,0.02247191011235955
alaska,63,2,97,0.020618556701030927
alaska,64,2,68,0.029411764705882353
alaska,65,3,99,0.030303030303030304
alaska,71,1,65,0.015384615384615385
alaska,72,2,57,0.03508771929824561
alaska,73,2,61,0.03278688524590164
alaska,74,1,68,0.014705882352941176
alaska,75,3,59,0.05084745762711865
arizona,1,30,1122,0.026737967914438502
arizona,2,28,1384,0.02023121387283237
arizona,3,22,1308,0.016819571865443424
arizona,4,19,1334,0.01424287856071964
arizona,5,29,1502,0.019307589880159785
arizona,6,25,1476,0.016937669376693765
arizona,7,27,1598,0.016896120150187734
arizona,8,37,1598,0.023153942428035045
arizona,9,23,1614,0.014250309789343246
arizona,10,25,1586,0.015762925598991173
arizona,11,28,1742,0.016073478760045924
arizona,12,28,1590,0.01761006289308176
arizona,13,33,1794,0.01839464882943144
arizona,14,33,1802,0.018312985571587125
arizona,15,34,2020,0.016831683168316833
arizona,16,32,1790,0.017877094972067038
arizona,17,24,1834,0.013086150490730643
arizona,18,113,2044,0.055283757338551856
arizona,19,130,1976,0.06578947368421052
arizona,20,51,1566,0.032567049808429116
arizona,21,71,1896,0.037447257383966245
arizona,22,60,1570,0.03821656050955414
arizona,23,77,1642,0.04689403166869671
arizona,24,68,1644,0.0413625304136253
arizona,25,63,1624,0.03879310344827586
arizona,26,59,1622,0.036374845869297165
arizona,27,70,1724,0.04060324825986079
arizona,28,56,1724,0.03248259860788863
arizona,29,50,1724,0.029002320185614848
arizona,30,62,1886,0.032873806998939555
arizona,31,65,1848,0.035173160173160176
arizona,32,59,1926,0.03063343717549325
arizona,33,32,1770,0.01807909604519774
arizona,34,37,1660,0.022289156626506025
arizona,35,42,1732,0.02424942263279446
arizona,36,38,1658,0.022919179734620022
arizona,37,39,1742,0.022388059701492536
arizona,38,21,1608,0.013059701492537313
arizona,39,27,1680,0.01607142857142857
arizona,40,29,1896,0.01529535864978903
arizona,41,33,1752,0.018835616438356163
arizona,42,30,1708,0.01756440281030445
arizona,43,19,1600,0.011875
arizona,44,24,1558,0.01540436456996149
arizona,45,35,1628,0.0214987714987715
arizona,46,23,1528,0.015052356020942409
arizona,47,24,1648,0.014563106796116505
arizona,48,17,1662,0.01022864019253911
arizona,49,40,1598,0.025031289111389236
arizona,50,26,1710,0.0152046783625731
arizona,51,34,1800,0.01888888888888889
arizona,52,22,1878,0.011714589989350373
arizona,53,30,1758,0.017064846416382253
arizona,54,29,1734,0.016724336793540944
arizona,55,37,1770,0.020903954802259886
arizona,56,26,1676,0.015513126491646777
arizona,57,26,1862,0.013963480128893663
arizona,58,43,1942,0.022142121524201853
arizona,59,30,1844,0.016268980477223426
arizona,60,40,1982,0.020181634712411706
arizona,61,52,2266,0.02294792586054722
arizona,62,52,2152,0.024163568773234202
arizona,63,44,2184,0.020146520146520148
arizona,64,52,2144,0.024253731343283583
arizona,65,48,2126,0.022577610536218252
